artist_name,pid
Drake,915000
Drake,915000
Rick Ross,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Majid Jordan,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Drake,915000
Coldplay,915001
Coldplay,915001
Green Day,915001
Ed Sheeran,915001
Ed Sheeran,915001
Ed Sheeran,915001
Christina Perri,915001
Jason Mraz,915001
Jason Mraz,915001
Bruno Mars,915001
Bruno Mars,915001
Bruno Mars,915001
Maroon 5,915001
Imagine Dragons,915001
Imagine Dragons,915001
OneRepublic,915001
The Band Perry,915001
Owl City,915001
Panic! At The Disco,915001
Halsey,915001
Plain White T's,915001
Plain White T's,915001
The Fray,915001
The Chainsmokers,915001
OneRepublic,915001
Secondhand Serenade,915001
John Mayer,915001
fun.,915001
Of Monsters and Men,915001
Train,915001
The Script,915001
Green Day,915001
Michael Bublé,915001
Michael Bublé,915001
OneRepublic,915001
Jon Bellion,915001
Ron Pope,915001
James Morrison,915001
OneRepublic,915001
DNCE,915001
The Vamps,915001
Ed Sheeran,915001
Colbie Caillat,915001
Shawn Hook,915001
Keane,915001
Maroon 5,915001
The Fray,915001
James Arthur,915001
Ne-Yo,915001
Radiohead,915001
James Arthur,915001
Owl City,915001
Mako,915001
Birdy,915001
Manchester Orchestra,915002
The Wild Feathers,915002
Southern Avenue,915002
Robert Randolph & The Family Band,915002
Robert Randolph & The Family Band,915002
Dispatch,915002
Redbird,915002
Redbird,915002
Forest Sun,915002
Forest Sun,915002
Elephant Revival,915002
Mandolin Orange,915002
The National Parks,915002
The Brothers Bright,915002
The Brothers Bright,915002
Josh Ritter,915002
Brent Cobb,915002
Down Like Silver,915002
Parker Millsap,915002
Dead Man Winter,915002
Dead Man Winter,915002
Próxima Parada,915002
Wilderado,915002
The Wild Feathers,915002
The Avett Brothers,915002
The Avett Brothers,915002
The Avett Brothers,915002
Shovels & Rope,915002
Darrell Scott,915002
The Revivalists,915002
Dawes,915002
Dawes,915002
Josh Ritter,915002
The Wood Brothers,915002
Shakey Graves,915002
Houndmouth,915002
The Wood Brothers,915002
Jamestown Revival,915002
Jason Isbell,915002
The Wood Brothers,915002
Dr. Dog,915002
Shovels & Rope,915002
Dr. Dog,915002
Pinegrove,915002
Jason Isbell,915002
Phosphorescent,915002
Reignwolf,915002
Johnnyswim,915002
The Mulligan Brothers,915002
Pinegrove,915002
Dawes,915002
Twiddle,915002
Jason Isbell and the 400 Unit,915002
William Wild,915002
John Moreland,915002
Uncle Lucius,915002
Morgane Stapleton,915002
Ruston Kelly,915002
Brothers Osborne,915002
Prophets and Outlaws,915002
Future Thieves,915002
Gov't Mule,915002
Marc Broussard,915002
Jon Bryant,915002
Maggie Koerner,915002
Blitzen Trapper,915002
Fruit Bats,915002
Josh Ritter,915002
The Steeldrivers,915002
Southern Avenue,915002
Parker Millsap,915002
Dispatch,915002
Jesse Roper,915002
Leon Bridges,915002
The Jompson Brothers,915002
Steam,915003
Sam & Dave,915003
Sam & Dave,915003
Stevie Wonder,915003
Stevie Wonder,915003
Stevie Wonder,915003
Stevie Wonder,915003
Stevie Wonder,915003
Stevie Wonder,915003
Stevie Wonder,915003
Stevie Wonder,915003
Stevie Wonder,915003
Stevie Wonder,915003
The Temptations,915003
The Temptations,915003
Rick James,915003
Rick James,915003
Rufus Featuring Chaka Khan,915003
Stevie Wonder,915003
Commodores,915003
James Brown,915003
James Brown & The Famous Flames,915003
Hot Chocolate,915003
Kool & The Gang,915003
Kool & The Gang,915003
Kool & The Gang,915003
Kool & The Gang,915003
Jefferson Starship,915003
Stevie Wonder,915003
Stevie Wonder,915003
Stevie Wonder,915003
Stevie Wonder,915003
Marvin Gaye,915003
Marvin Gaye,915003
Marvin Gaye,915003
Marvin Gaye,915003
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Destiny's Child,915004
Destiny's Child,915004
Beyoncé,915004
Sean Paul,915004
Beyoncé,915004
Beyoncé,915004
Destiny's Child,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Beyoncé,915004
Nicki Minaj,915004
Beyoncé,915004
Chris Cornell,915005
Chris Cornell,915005
Don McLean,915005
Taylor Swift,915005
Audra Mae,915005
Alison Mosshart,915005
Battleme,915005
Bob Marley & The Wailers,915005
Eddie Vedder,915005
Eddie Vedder,915005
The Beatles,915005
The Beatles,915005
The Beatles,915005
The Beatles,915005
The Beatles,915005
The Beatles,915005
The Beatles,915005
Stereophonics,915005
Johnny Cash,915005
Jack White,915005
Jack White,915005
Jack White,915005
Jack White,915005
Jack White,915005
Foo Fighters,915005
Foo Fighters,915005
Foo Fighters,915005
Foo Fighters,915005
Foo Fighters,915005
Foo Fighters,915005
Norah Jones,915005
Simon & Garfunkel,915005
Elton John,915005
Yusuf / Cat Stevens,915005
Elton John,915005
Stevie Wonder,915005
Nirvana,915005
Elliott Smith,915005
Elliott Smith,915005
Ryan Adams,915005
Ryan Adams,915005
Chris Cornell,915005
Alborosie,915006
Alborosie,915006
Alborosie,915006
Alborosie,915006
Alborosie,915006
Alborosie,915006
Alborosie,915006
SOJA,915006
SOJA,915006
SOJA,915006
SOJA,915006
SOJA,915006
SOJA,915006
Tribal Seeds,915006
Tribal Seeds,915006
Tribal Seeds,915006
Tribal Seeds,915006
Tribal Seeds,915006
Tribal Seeds,915006
Tribal Seeds,915006
Tribal Seeds,915006
Tribal Seeds,915006
Tribal Seeds,915006
Tribal Seeds,915006
Tribal Seeds,915006
Damian Marley,915006
Damian Marley,915006
Alborosie,915006
Stephen Marley,915006
Alborosie,915006
Rebelution,915006
Rebelution,915006
Rebelution,915006
Rebelution,915006
Rebelution,915006
Rebelution,915006
Rebelution,915006
Rebelution,915006
Rebelution,915006
Rebelution,915006
Rebelution,915006
Rebelution,915006
Rebelution,915006
Rebelution,915006
Rebelution,915006
Rebelution,915006
Rebelution,915006
Rebelution,915006
Rebelution,915006
Rebelution,915006
Rebelution,915006
Rebelution,915006
Alborosie,915006
Alborosie,915006
Collie Buddz,915006
Collie Buddz,915006
Alborosie,915006
Barrington Levy,915006
Barrington Levy,915006
Damian Marley,915006
Damian Marley,915006
Annuals,915007
Annuals,915007
City and Colour,915007
The Spill Canvas,915007
The Spill Canvas,915007
The Spill Canvas,915007
The Spill Canvas,915007
Acceptance,915007
Acceptance,915007
Slaves,915007
Flyleaf,915007
Joe Purdy,915007
Copeland,915007
David Ryan Harris,915007
David Ryan Harris,915007
Sleep For Sleepers,915007
Emery,915007
Jimmy Eat World,915007
Gym Class Heroes,915007
Gym Class Heroes,915007
Gym Class Heroes,915007
The Young Sea,915007
The Cab,915007
The Cab,915007
The Cab,915007
The Cab,915007
Jamie Lidell,915007
Eisley,915007
Until June,915007
Augustana,915007
This Day & Age,915007
Margot & The Nuclear So And So's,915007
The Starting Line,915007
The Starting Line,915007
New Found Glory,915007
Something Corporate,915007
Motion City Soundtrack,915007
Say Anything,915007
Say Anything,915007
Cartel,915007
Cartel,915007
Cartel,915007
Cartel,915007
The Maine,915007
